,NAME,PSRJ,P0,P1,BINCOMP,DISC
414,J1130-5826,J1130-5826,0.162323,1.59E-17,*,2003
415,J1130-5925,J1130-5925,0.680984,9.52E-16,*,2001
416,J1130-6807,J1130-6807,0.256353,4.6E-16,*,1998
417,J1132-4700,J1132-4700,0.325633,7.77E-16,*,2012
418,J1132-5627,J1132-5627,0.175166,6.8E-17,*,2003
419,B1131-62,J1133-6250,1.022875,4.52E-16,*,1992
420,J1135-6055,J1135-6055,0.114943,7.93E-14,*,2011
421,B1133+16,J1136+1551,1.187913,3.73E-15,*,1968
422,B1133-55,J1136-5525,0.364713,8.23E-15,*,1978
423,J1137-6700,J1137-6700,0.556216,7.17E-17,*,1998
424,J1137+7528,J1137+7528,0.002513,3.24E-21,He[san16],2016
425,J1138-6207,J1138-6207,0.117564,1.25E-14,*,2001
426,J1141-3107,J1141-3107,0.538432,1.96E-15,*,1996
427,J1141-3322,J1141-3322,0.291468,4.63E-16,*,1998
428,J1141-6545,J1141-6545,0.393899,4.31E-15,CO[abw+11],2000
429,J1142+0119,J1142+0119,0.005075,1.5E-20,He[san16],2016
430,J1142-6230,J1142-6230,0.558383,7.79E-17,*,2001
431,J1143-5158,J1143-5158,0.675646,6.95E-16,*,1996
432,J1143-5536,J1143-5536,0.685358,4.85E-16,*,2012
433,J1144-6217,J1144-6217,0.850665,3.08E-14,*,2001
434,B1143-60,J1146-6030,0.273375,1.79E-15,*,1978
435,J1148-5725,J1148-5725,3.559937,1.11E-14,*,2006
436,J1148-6415,J1148-6415,3.241029,2.7E-15,*,2003
437,J1151-6108,J1151-6108,0.101633,1.03E-14,*,2015
438,J1152-5800,J1152-5800,1.789829,1.28E-15,*,2004
439,J1152-6012,J1152-6012,0.37657,6.69E-15,*,2003
440,J1154-6250,J1154-6250,0.282012,5.59E-16,*,2003
441,J1156-5707,J1156-5707,0.288409,2.65E-14,*,2004
442,J1156-5909,J1156-5909,1.037931,1.02E-15,*,1998
443,J1157-5112,J1157-5112,0.043589,1.43E-19,CO[eb01b],2001
444,B1154-62,J1157-6224,0.400526,3.93E-15,*,1969
445,J1159-6409,J1159-6409,0.667486,2.4E-17,*,2003
446,J1159-7910,J1159-7910,0.525074,2.82E-15,*,1998
447,J1201-6306,J1201-6306,0.592136,3.56E-15,*,2003
448,B1159-58,J1202-5820,0.452803,2.13E-15,*,1978
449,J1204-6843,J1204-6843,0.308861,2.17E-16,*,2001
450,J1208-6238,J1208-6238,0.440591,3.27E-12,*,2016
451,J1210-5226,J1210-5226,0.424131,2.22E-17,*,2000
452,J1210-5559,J1210-5559,0.279768,7.25E-16,*,1996
453,J1210-6550,J1210-6550,4.23701,4.31E-16,*,2004
454,J1211-6324,J1211-6324,0.433084,2.57E-16,*,2003
455,J1214-5830,J1214-5830,0.909823,5.34E-17,*,2003
456,J1215-5328,J1215-5328,0.636414,1.15E-16,*,2001
457,J1216-6223,J1216-6223,0.374047,1.68E-14,*,2001
458,J1216-6410,J1216-6410,0.003539,1.62E-21,He[fsk+04],2004
459,J1220-6318,J1220-6318,0.789212,8.03E-17,*,2001
460,J1222-5738,J1222-5738,1.081164,1.5E-16,*,2003
461,J1224-6208,J1224-6208,0.585761,2.02E-14,*,2001
462,B1221-63,J1224-6407,0.216481,4.95E-15,*,1973
463,J1225-5556,J1225-5556,1.018453,2.06E-15,*,1996
464,J1225-6035,J1225-6035,0.626324,2.88E-16,*,2003
465,B1222-63,J1225-6408,0.419618,9.46E-16,*,1978
466,J1226-3223,J1226-3223,6.193004,7.05E-15,*,2010
467,J1227-4853,J1227-4853,0.001686,1.11E-20,MS[dcm+14],2015
468,J1227-6208,J1227-6208,0.034528,1.87E-19,CO[btb+15],2015
469,J1231-1411,J1231-1411,0.003684,2.28E-20,He[rrc+11],2011
470,J1231-4609,J1231-4609,0.877239,3.8E-17,*,2009
471,J1231-6303,J1231-6303,1.351236,1.4E-15,*,2003
472,J1232-4742,J1232-4742,1.872994,1.4E-17,*,2001
473,J1232-6501,J1232-6501,0.088282,8.11E-19,He[eb01b],2001
474,J1233-6312,J1233-6312,0.564759,6.92E-15,*,2003
475,J1233-6344,J1233-6344,0.756892,3.88E-15,*,2003
476,J1234-3630,J1234-3630,0.569242,8.66E-16,*,2018
477,J1235-6354,J1235-6354,0.256778,1.97E-16,*,2003
478,J1236-5033,J1236-5033,0.29476,1.56E-16,*,2001
479,J1237-6725,J1237-6725,2.110974,2.19E-15,*,2003
480,J1238+2152,J1238+2152,1.118591,1.45E-15,*,1996
481,B1237+25,J1239+2453,1.382449,9.6E-16,*,1969
482,B1236-68,J1239-6832,1.301923,1.19E-14,*,1978
483,B1237-41,J1240-4124,0.512242,1.74E-15,*,1978
484,J1243-5735,J1243-5735,0.471225,8E-17,*,2003
485,B1240-64,J1243-6423,0.388485,4.49E-15,*,1969
486,J1244-5053,J1244-5053,0.275207,1E-15,*,2001
487,J1244-6359,J1244-6359,0.147274,4.4E-18,CO[ncb+15],2015
488,J1244-6531,J1244-6531,1.546819,7.18E-15,*,2009
489,J1245-6238,J1245-6238,2.283093,1.09E-14,*,2001
490,J1246+2253,J1246+2253,0.473871,8.89E-17,*,1993
491,J1248-6344,J1248-6344,0.198335,1.69E-14,*,2003
492,J1248-6444,J1248-6444,1.234893,1.93E-15,*,2015
493,J1249-6507,J1249-6507,0.434445,1.21E-17,*,2003
494,J1251-7407,J1251-7407,0.327058,3.65E-16,*,2012
495,J1252-6314,J1252-6314,0.823339,1.08E-16,*,2001
496,J1253-5820,J1253-5820,0.255496,2.1E-15,*,1996
497,J1254-6150,J1254-6150,0.184502,6.24E-16,*,2003
498,J1255-6131,J1255-6131,0.657974,4E-15,*,2003
499,B1254-10,J1257-1027,0.617308,3.63E-16,*,1985
500,B1256-67,J1259-6741,0.663329,1.21E-15,*,1978
501,B1257+12,J1300+1240,0.006219,1.14E-19,ULT[wol94],1990
502,J1301-6305,J1301-6305,0.184528,2.67E-13,*,2001
503,J1301-6310,J1301-6310,0.66383,5.64E-14,*,2003
504,J1302-6313,J1302-6313,0.967846,6.33E-15,*,2003
505,B1259-63,J1302-6350,0.047763,2.28E-15,MS[jml+94],1992
506,J1303-6305,J1303-6305,2.306642,2.18E-15,*,2001
507,J1305-6203,J1305-6203,0.427762,3.21E-14,*,2001
508,J1305-6256,J1305-6256,0.478231,2.11E-15,*,2001
509,B1302-64,J1305-6455,0.571652,4.04E-15,*,1978
510,J1306-6242,J1306-6242,0.981902,5.86E-15,*,2003
511,B1303-66,J1306-6617,0.473026,5.97E-15,*,1992
512,J1307-6318,J1307-6318,4.962427,2.11E-14,*,2001
513,J1308+2127,J1308+2127,10.312522,1.12E-13,*,2002
514,J1308-4650,J1308-4650,1.058833,5.26E-16,*,2009
515,J1308-5844,J1308-5844,0.4647,8.64E-15,*,2006
516,J1309-6415,J1309-6415,0.619454,8.79E-15,*,2001
517,J1309-6526,J1309-6526,0.398292,1.84E-17,*,2003
518,B1309-12,J1311-1228,0.447518,1.51E-16,*,1985
519,J1311-3430,J1311-3430,0.00256,2.1E-20,UL[rfs+12],2012
520,J1312+0051,J1312+0051,0.004228,1.75E-20,He[san16],2016
521,B1309-53,J1312-5402,0.728154,1.43E-16,*,1978
522,B1309-55,J1312-5516,0.849243,5.7E-15,*,1978
523,J1312-6400,J1312-6400,2.437432,6.83E-16,*,2001
524,J1313+0931,J1313+0931,0.848933,8E-16,*,2000
525,J1314-6101,J1314-6101,2.94839,1.17E-14,*,2003
526,J1316-6232,J1316-6232,0.342825,5.3E-15,*,2001
527,J1317-5759,J1317-5759,2.642199,1.26E-14,*,2006
528,J1317-6302,J1317-6302,0.261271,1.02E-16,*,2001
529,B1316-60,J1319-6056,0.284353,1.53E-15,*,1992
530,J1319-6105,J1319-6105,0.421118,1.5E-15,*,2003
531,J1320-3512,J1320-3512,0.458488,1.9E-18,*,1996
532,B1317-53,J1320-5359,0.279738,9.25E-15,*,1978
533,J1321-5922,J1321-5922,1.279058,2.37E-15,*,2009
534,B1322+83,J1321+8323,0.670037,5.66E-16,*,1982
535,J1322-6241,J1322-6241,0.506058,2.59E-15,*,2001
536,J1322-6329,J1322-6329,2.764209,1.11E-14,*,2003
537,J1324-6146,J1324-6146,0.844109,5.58E-15,*,2003
538,J1324-6302,J1324-6302,2.483804,9.79E-16,*,2003
539,B1323-58,J1326-5859,0.477994,3.24E-15,*,1978
540,B1323-63,J1326-6408,0.792674,3.09E-15,*,1978
541,B1322-66,J1326-6700,0.543015,5.33E-15,*,1978
542,J1327-0755,J1327-0755,0.002678,1.77E-21,He[blr+13],2013
543,B1323-62,J1327-6222,0.529929,1.88E-14,*,1973
544,B1323-627,J1327-6301,0.19648,1.53E-15,*,1992
545,J1327-6400,J1327-6400,0.280678,3.12E-14,*,2001
546,B1325-43,J1328-4357,0.532699,3.01E-15,*,1978
547,B1325-49,J1328-4921,1.478721,6.1E-16,*,1978
548,J1329-6158,J1329-6158,1.565218,3.39E-14,*,2003
549,J1331-5245,J1331-5245,0.648117,5.1E-16,*,2010
550,J1332-3032,J1332-3032,0.650434,5.6E-16,*,1998
551,J1333-4449,J1333-4449,0.345603,5.4E-19,*,2009
552,J1334-5839,J1334-5839,0.107718,2.16E-17,*,1996
553,J1336-2522,J1336-2522,0.478145,3.31E-16,*,2018
554,J1337-6306,J1337-6306,0.207953,3.56E-16,*,2004
555,J1337-6423,J1337-6423,0.009423,2.47E-20,CO[kjb+12],2012
556,B1334-61,J1338-6204,1.23899,1.39E-14,*,1992
557,J1339-4712,J1339-4712,0.137055,5.3E-19,*,2009
558,J1339-6618,J1339-6618,0.558179,3.5E-16,*,2003
559,B1336-64,J1340-6456,0.378622,5.05E-15,*,1978
560,J1341-6023,J1341-6023,0.627285,1.95E-14,*,2001
561,B1338-62,J1341-6220,0.19334,2.53E-13,*,1985
562,J1342+2822B,J1342+2822B,0.002389,1.86E-20,He[hrs+07],2007
563,J1344-6059,J1344-6059,0.540102,4.3E-17,*,2003
564,J1345-6115,J1345-6115,1.253085,3.25E-15,*,2001
565,J1346-4918,J1346-4918,0.299625,3.5E-17,*,2012
566,J1347-5947,J1347-5947,0.609962,1.42E-14,*,2001
567,J1348-6307,J1348-6307,0.927772,3.79E-15,*,2001
568,J1349-6130,J1349-6130,0.259363,5.13E-15,*,2001
569,J1350-5115,J1350-5115,0.295699,7.53E-16,*,1998
570,J1350-6225,J1350-6225,0.138158,8.88E-15,*,2017
571,J1352-6803,J1352-6803,0.628903,1.23E-15,*,2001
572,J1354-6249,J1354-6249,2.951938,1.48E-14,*,2003
573,B1352-51,J1355-5153,0.644305,2.81E-15,*,1978
574,J1355-5747,J1355-5747,2.038674,7.15E-16,*,2006
575,J1355-5925,J1355-5925,1.213381,5.99E-15,*,2003
576,J1355-6206,J1355-6206,0.276603,3.1E-18,*,2003
577,J1356-5521,J1356-5521,0.50738,7.24E-16,*,1996
578,J1357-6429,J1357-6429,0.166108,3.6E-13,*,2006
579,B1356-60,J1359-6038,0.127508,6.33E-15,*,1978
580,J1400-1431,J1400-1431,0.003084,7.23E-21,He[skm+17],2013
581,J1400-6325,J1400-6325,0.031182,3.89E-14,*,2010
582,B1358-63,J1401-6357,0.842805,1.69E-14,*,1978
583,J1403-6310,J1403-6310,0.39917,9E-17,*,2003
584,J1403-7646,J1403-7646,1.306198,1.2E-15,*,1998
585,J1404+1159,J1404+1159,2.650439,1.37E-15,*,2003
586,J1405-4656,J1405-4656,0.007602,2.79E-20,He[btb+15],2015
587,J1405-5641,J1405-5641,0.617575,1.2E-15,*,2006
588,J1406-5806,J1406-5806,0.288349,6.11E-16,*,2003
589,J1406-6121,J1406-6121,0.213075,5.47E-14,*,2001
590,J1407-6048,J1407-6048,0.492344,3.16E-15,*,2001
591,J1407-6153,J1407-6153,0.701615,8.85E-15,*,2001
592,J1409-6953,J1409-6953,0.528591,8.4E-16,*,2012
593,J1410-6132,J1410-6132,0.050052,3.2E-14,*,2008
594,J1410-7404,J1410-7404,0.278729,6.74E-18,*,2001
595,J1411+2551,J1411+2551,0.062453,9.56E-20,NS[msf+17],2017
596,J1412-6111,J1412-6111,0.529156,1.91E-15,*,2001
597,J1412-6145,J1412-6145,0.315225,9.87E-14,*,2001
598,J1412+7922,J1412+7922,0.059198,4E-19,*,2011
599,J1413-6141,J1413-6141,0.285625,3.33E-13,*,2003
600,J1413-6205,J1413-6205,0.109741,2.77E-14,*,2010
601,J1413-6222,J1413-6222,0.292408,2.23E-15,*,2001
602,B1409-62,J1413-6307,0.394946,7.43E-15,*,1992
603,J1414-6802,J1414-6802,4.630188,6.39E-15,*,2001
604,J1415-6621,J1415-6621,0.392479,5.8E-16,*,2001
605,J1416-5033,J1416-5033,0.794883,1.2E-16,*,2012
606,J1416-6037,J1416-6037,0.29558,4.28E-15,*,2001
607,J1418-3921,J1418-3921,1.096806,8.89E-16,*,1996
608,J1418-5945,J1418-5945,1.672596,2.71E-16,*,2003
609,J1418-6058,J1418-6058,0.110573,1.69E-13,*,2009
610,B1417-54,J1420-5416,0.935772,2.32E-16,*,1978
611,J1420-5625,J1420-5625,0.034117,6.75E-20,CO(?)[hfs+04],2004
612,J1420-6048,J1420-6048,0.06818,8.32E-14,*,2001
613,J1421-4409,J1421-4409,0.006386,1.27E-20,He(?)[tau19],2018
614,J1422-6138,J1422-6138,0.340968,9.68E-14,*,2013
615,J1423-6953,J1423-6953,0.333411,1.45E-15,*,2001
616,J1424-5556,J1424-5556,0.770375,7.8E-16,*,2004
617,J1424-5822,J1424-5822,0.366734,3.94E-15,*,2003
618,J1424-6438,J1424-6438,1.023504,2.4E-16,*,2003
619,J1425-5723,J1425-5723,0.353263,2.2E-17,*,2003
620,J1425-5759,J1425-5759,0.707868,7.42E-16,*,2003
621,J1425-6210,J1425-6210,0.50173,4.78E-16,*,2001
622,J1427-4158,J1427-4158,0.586486,6.21E-16,*,2009
623,B1424-55,J1428-5530,0.570292,2.09E-15,*,1978
624,J1429-5911,J1429-5911,0.115843,3.05E-14,*,2010
625,J1429-5935,J1429-5935,0.763915,4.28E-14,*,2001
626,B1426-66,J1430-6623,0.785443,2.78E-15,*,1968
627,J1431-4715,J1431-4715,0.002012,1.41E-20,MS[ssc+19],2015
628,J1431-5740,J1431-5740,0.004111,6.42E-21,He[bbb+13],2013
629,J1432-5032,J1432-5032,2.034989,5.92E-15,*,2010
630,J1433-6038,J1433-6038,1.95443,5.63E-15,*,2009
631,J1434-6006,J1434-6006,0.306368,3.02E-15,*,2003
632,J1434-6029,J1434-6029,0.963348,1.03E-15,*,2001
633,J1434+7257,J1434+7257,0.041741,5.5E-19,*,2014
634,J1435-5954,J1435-5954,0.472995,1.54E-15,*,2004
635,J1435-6100,J1435-6100,0.009348,2.45E-20,CO[clm+01],2001
636,J1437-5959,J1437-5959,0.061696,8.59E-15,*,2009
637,J1437-6146,J1437-6146,0.467616,6.33E-15,*,2004
638,J1439-5501,J1439-5501,0.028635,1.42E-19,CO[pld+13],2004
639,B1436-63,J1440-6344,0.459607,1.12E-15,*,1978
640,J1441-6137,J1441-6137,1.17584,3.6E-16,*,2003
641,J1443-5122,J1443-5122,0.732061,3.38E-16,*,2010
642,J1444-5941,J1444-5941,2.760228,8.23E-15,*,2001
643,J1444-6026,J1444-6026,4.758576,1.85E-14,*,2006
644,J1446-4701,J1446-4701,0.002195,9.81E-21,UL[kjb+12],2012
645,J1449-5846,J1449-5846,0.46333,8.6E-17,*,2003
646,J1452-5851,J1452-5851,0.386625,5.07E-14,*,2001
647,J1452-6036,J1452-6036,0.154991,1.45E-15,*,2003
648,J1453+1902,J1453+1902,0.005792,1.17E-20,*,2007
649,B1449-64,J1453-6413,0.179487,2.74E-15,*,1969
650,J1454-5846,J1454-5846,0.045249,8.17E-19,CO[clm+01],2001
651,J1455-3330,J1455-3330,0.007987,2.43E-20,He[lnl+95],1995
652,B1451-68,J1456-6843,0.263377,9.89E-17,*,1968
653,B1454-51,J1457-5122,1.748301,5.29E-15,*,1978
654,J1457-5900,J1457-5900,1.498637,3.66E-15,*,2003
655,J1457-5902,J1457-5902,0.390739,1.23E-14,*,2003
656,J1459-6053,J1459-6053,0.103151,2.53E-14,*,2009
657,J1501-0046,J1501-0046,0.464037,2.39E-16,*,2013
658,J1501-5637,J1501-5637,0.782949,1.7E-16,*,2003
659,J1502-5653,J1502-5653,0.535504,1.83E-15,*,2004
660,J1502-5828,J1502-5828,0.668105,3.64E-14,*,2003
661,J1502-6128,J1502-6128,0.842104,1.35E-15,*,2003
662,J1502-6752,J1502-6752,0.026744,3.15E-19,UL[kjb+12],2012
663,J1503+2111,J1503+2111,3.314002,1.4E-16,*,2005
664,J1504-5621,J1504-5621,0.412985,5.53E-15,*,2003
665,B1503-51,J1506-5158,0.840739,6.37E-15,*,1978
666,B1504-43,J1507-4352,0.286758,1.58E-15,*,1978
667,B1503-66,J1507-6640,0.355656,1.15E-15,*,1978
668,B1508+55,J1509+5531,0.739682,5E-15,*,1968
669,J1509-5850,J1509-5850,0.088922,9.17E-15,*,2003
670,J1509-6015,J1509-6015,0.339038,2.12E-15,*,2003
671,B1507-44,J1510-4422,0.943871,6.1E-16,*,1978
672,J1511-5414,J1511-5414,0.200384,4.85E-16,*,2003
673,J1511-5835,J1511-5835,0.301511,3.44E-16,*,2003
674,J1512-5431,J1512-5431,2.040532,1.92E-15,*,2003
675,B1508-57,J1512-5759,0.1287,6.85E-15,*,1992
676,J1513-2550,J1513-2550,0.002119,2.16E-20,UL[san16],2016
677,J1513-5739,J1513-5739,0.973458,2.75E-14,*,2001
678,B1509-58,J1513-5908,0.151251,1.53E-12,*,1982
679,J1513-5946,J1513-5946,1.046117,8.53E-15,*,2010
680,B1510-48,J1514-4834,0.454839,9.25E-16,*,1978
681,J1514-4946,J1514-4946,0.003589,1.86E-20,He[kcj+12],2012
682,J1514-5925,J1514-5925,0.148796,2.88E-15,*,2003
683,J1515-5720,J1515-5720,0.286646,6.1E-15,*,2003
684,J1517-4356,J1517-4356,0.650837,2.16E-16,*,2001
685,J1517-4636,J1517-4636,0.886612,2.1E-15,*,2010
686,B1516+02A,J1518+0204A,0.005554,4.12E-20,*,1989
687,J1518+0204C,J1518+0204C,0.002484,2.61E-20,He(?)[prf+14],2007
688,J1518-0627,J1518-0627,0.794997,4.18E-16,*,2013
689,J1518-3952,J1518-3952,0.499196,2.37E-16,*,2019
690,J1518+4904,J1518+4904,0.040935,2.72E-20,NS[jsk+08],1996
691,J1518-5415,J1518-5415,0.214925,4.06E-17,*,2009
692,J1519-5734,J1519-5734,0.518758,4.27E-15,*,2006
693,J1519-6106,J1519-6106,2.154307,8.37E-15,*,2006
694,J1519-6308,J1519-6308,1.254052,5.96E-15,*,2004
695,J1522-5525,J1522-5525,1.389605,3.3E-15,*,2003
696,J1522-5735,J1522-5735,0.102136,3.12E-14,*,2013
697,B1518-58,J1522-5829,0.395354,2.06E-15,*,1992
698,J1524-5625,J1524-5625,0.078219,3.9E-14,*,2003
699,J1524-5706,J1524-5706,1.116049,3.56E-13,*,2003
700,J1524-5819,J1524-5819,0.961043,1.26E-13,*,2009
701,J1525-5417,J1525-5417,1.011694,1.62E-14,*,2003
702,J1525-5523,J1525-5523,0.355156,8.96E-18,*,2015
703,J1525-5545,J1525-5545,0.01136,1.31E-19,CO[nbb+14],2014
704,J1525-5605,J1525-5605,0.280349,1.16E-16,*,2003
705,J1526-5633,J1526-5633,0.301888,1.23E-16,*,2003
706,B1524-39,J1527-3931,2.417605,1.91E-14,*,1978
707,B1523-55,J1527-5552,1.048719,1.13E-14,*,1978
708,J1528-3146,J1528-3146,0.060822,2.49E-19,CO[jbo+07],2007
709,J1528-4109,J1528-4109,0.526556,3.96E-16,*,2001
710,J1528-5547,J1528-5547,3.467302,7.75E-15,*,2015
711,J1528-5838,J1528-5838,0.355687,2.48E-14,*,2017
712,J1529-3828,J1529-3828,0.008486,2.7E-20,He[nbb+14],2014
713,J1529-5355,J1529-5355,0.891265,8.1E-16,*,2003
714,J1529-5611,J1529-5611,0.822249,4.1E-15,*,2003
715,J1530-5327,J1530-5327,0.278957,4.68E-15,*,2001
716,J1530-6343,J1530-6343,0.91032,8.25E-16,*,2012
717,J1531-4012,J1531-4012,0.356849,9.63E-17,*,2001
718,J1531-5610,J1531-5610,0.084202,1.37E-14,*,2003
719,B1530+27,J1532+2745,1.124836,7.8E-16,*,1978
720,J1532-5308,J1532-5308,0.443825,6.5E-17,*,2003
721,J1534-4428,J1534-4428,1.221426,1.8E-16,*,2012
722,B1530-53,J1534-5334,1.368882,1.43E-15,*,1968
723,B1530-539,J1534-5405,0.289689,1.54E-15,*,1992
724,J1535-4114,J1535-4114,0.432866,4.07E-15,*,2001
725,J1535-4415,J1535-4415,0.468402,4.05E-17,*,2001
726,J1535-5450,J1535-5450,0.566734,1.43E-14,*,2003
727,J1535-5848,J1535-5848,0.307178,2.72E-15,*,2003
728,J1536-3602,J1536-3602,1.319759,7.9E-16,*,2009
729,J1536-5433,J1536-5433,0.881438,1.91E-15,*,2001
730,J1536-5907,J1536-5907,0.557841,1.37E-15,*,2009
731,B1534+12,J1537+1155,0.037904,2.42E-18,NS[sttw02],1991
732,J1537-4912,J1537-4912,0.301311,1.93E-15,*,2001
733,J1537-5153,J1537-5153,1.528124,4.17E-15,*,2003
734,J1537-5645,J1537-5645,0.430464,2.78E-15,*,2001
735,J1538+2345,J1538+2345,3.449385,6.89E-15,*,2015
736,J1538-5438,J1538-5438,0.276726,1.42E-15,*,2001
737,J1538-5519,J1538-5519,0.395731,4.1E-17,*,2009
738,J1538-5551,J1538-5551,0.104675,3.21E-15,*,2004
739,J1538-5621,J1538-5621,1.908494,7.31E-15,*,2015
740,J1538-5638,J1538-5638,0.84398,7.12E-15,*,2003
741,J1538-5732,J1538-5732,0.341213,4.55E-15,*,2006
742,J1538-5750,J1538-5750,0.506568,4.2E-17,*,2003
743,J1539-4828,J1539-4828,1.272842,1.27E-15,*,2009
744,J1539-5521,J1539-5521,1.004958,7.28E-16,*,2003
745,B1535-56,J1539-5626,0.243396,4.85E-15,*,1992
746,J1539-6322,J1539-6322,1.630846,2.02E-16,*,2001
747,J1540-5736,J1540-5736,0.612916,4.21E-16,*,2001
748,J1541-5535,J1541-5535,0.295838,7.5E-14,*,2003
749,J1542-5034,J1542-5034,0.599245,3.97E-15,*,1996
750,J1542-5133,J1542-5133,1.783865,5.89E-16,*,2004
751,J1542-5303,J1542-5303,1.207568,7.78E-14,*,2003
752,B1540-06,J1543-0620,0.709064,8.8E-16,*,1978
753,B1541+09,J1543+0929,0.748448,4.32E-16,*,1969
754,J1543-5013,J1543-5013,0.644255,1.01E-14,*,2003
755,J1543-5149,J1543-5149,0.002057,1.62E-20,He[kjb+12],2012
756,J1543-5459,J1543-5459,0.377119,5.2E-14,*,2001
757,J1544+4937,J1544+4937,0.002159,2.93E-21,UL[brr+13],2013
758,B1541-52,J1544-5308,0.178554,6.03E-17,*,1978
759,J1545-4550,J1545-4550,0.003575,5.25E-20,He[bbb+13],2013
760,J1546-5302,J1546-5302,0.58084,1.18E-14,*,2003
761,J1547-0944,J1547-0944,1.576925,2.94E-15,*,2013
762,J1547-5750,J1547-5750,0.647198,2.56E-17,*,2004
763,J1547-5839,J1547-5839,0.24219,5.94E-16,*,2003
764,J1548-4821,J1548-4821,0.145655,8E-19,*,2003
765,J1548-4927,J1548-4927,0.602738,4.05E-15,*,2003
766,J1548-5607,J1548-5607,0.170934,1.07E-14,*,2001
767,J1549+2113,J1549+2113,1.262471,8.54E-16,*,1995
768,J1549-4848,J1549-4848,0.288347,1.41E-14,*,1996
769,J1549-5722,J1549-5722,0.497772,4.7E-17,*,2003
770,J1550-5242,J1550-5242,0.749659,1.78E-14,*,2003
771,J1550-5317,J1550-5317,1.421124,9.35E-16,*,2003
772,J1550-5418,J1550-5418,2.069833,2.32E-11,*,2007
773,J1551-4424,J1551-4424,0.67406,1.88E-16,*,2012
774,J1551-5310,J1551-5310,0.453394,1.95E-13,*,2004
775,J1551-6214,J1551-6214,0.198839,2.28E-17,*,2012
776,J1552-4937,J1552-4937,0.006284,1.9E-20,*,2004
777,J1552+5437,J1552+5437,0.002428,2.8E-21,*,2017
778,B1550-54,J1553-5456,1.081328,1.57E-14,*,1978
779,J1554-5209,J1554-5209,0.12523,2.29E-15,*,2010
780,J1554-5512,J1554-5512,3.418039,3.12E-14,*,2003
781,J1555-0515,J1555-0515,0.97541,2.05E-15,*,2013
782,B1552-23,J1555-2341,0.532578,6.94E-16,*,1978
783,B1552-31,J1555-3134,0.51811,6.22E-17,*,1978
784,J1556-5358,J1556-5358,0.994681,1.04E-14,*,2003
785,J1557-4258,J1557-4258,0.329187,3.3E-16,*,1996
786,J1558-5419,J1558-5419,0.594575,6.04E-15,*,2001
787,J1558-5756,J1558-5756,1.122342,1.86E-13,*,2006
788,B1556-44,J1559-4438,0.257056,1.02E-15,*,1972
789,B1555-55,J1559-5545,0.957242,2.05E-14,*,1978
790,J1600-3053,J1600-3053,0.003598,9.5E-21,He[jbo+07],2007
791,B1557-50,J1600-5044,0.192605,5.06E-15,*,1973
792,B1556-57,J1600-5751,0.194454,2.13E-15,*,1978
793,J1600-5916,J1600-5916,1.247666,8.87E-16,*,2006
794,J1601-5244,J1601-5244,2.559357,7.21E-16,*,2001
795,J1601-5335,J1601-5335,0.288457,6.24E-14,*,2001
796,J1602-4957,J1602-4957,0.81999,1.59E-14,*,2003
797,B1558-50,J1602-5100,0.864286,6.94E-14,*,1973
798,J1603-2531,J1603-2531,0.28307,1.59E-15,*,1996
799,B1600-27,J1603-2712,0.778313,3.01E-15,*,1978
800,J1603-3539,J1603-3539,0.141909,1.24E-16,*,2001
801,J1603-5657,J1603-5657,0.496077,2.79E-15,*,1998
802,J1603-7202,J1603-7202,0.014842,1.56E-20,CO(?)[ts99a],1996
803,J1604-4718,J1604-4718,0.527466,4.96E-15,*,2006
804,B1600-49,J1604-4909,0.327419,1.02E-15,*,1978
805,J1604-7203,J1604-7203,0.341403,8.4E-17,*,1998
806,J1605-5215,J1605-5215,1.013609,4.75E-15,*,2001
807,B1601-52,J1605-5257,0.658013,2.56E-16,*,1973
808,B1604-00,J1607-0032,0.421816,3.06E-16,*,1970
809,J1607-5140,J1607-5140,0.342723,2.54E-15,*,2001
810,J1607-6449,J1607-6449,0.298116,2.49E-17,*,2012
811,J1609-1930,J1609-1930,1.557917,5.09E-16,*,2009
812,J1609-4616,J1609-4616,0.249609,5.01E-16,*,2004
813,J1609-5158,J1609-5158,1.279402,1.3E-14,*,2001
814,B1607-13,J1610-1322,1.018393,2.3E-16,*,1985
815,J1610-5006,J1610-5006,0.481119,1.36E-14,*,2001
816,J1610-5303,J1610-5303,0.786468,2.62E-15,*,2003
817,J1611-4811,J1611-4811,1.29685,1.95E-15,*,2003
818,J1611-4949,J1611-4949,0.666438,5.42E-16,*,2001
819,B1607-52,J1611-5209,0.182492,5.17E-15,*,1992
820,J1611-5847,J1611-5847,0.35455,2.01E-18,*,2006
821,J1612+2008,J1612+2008,0.426646,3.73E-17,*,2013
822,J1612-2408,J1612-2408,0.923834,1.57E-15,*,2009
823,J1612-5136,J1612-5136,0.483311,3.78E-15,*,2003
824,J1612-5805,J1612-5805,0.61552,9.35E-16,*,2010
825,B1609-47,J1613-4714,0.382377,6.34E-16,*,1978
826,J1613-5211,J1613-5211,0.457502,1.92E-14,*,2001
827,J1613-5234,J1613-5234,0.655221,6.63E-15,*,2001
828,B1612+07,J1614+0737,1.206801,2.36E-15,*,1978
829,J1614-2230,J1614-2230,0.003151,9.62E-21,CO[dpr+10],2006
830,J1614-3846,J1614-3846,0.464106,9.2E-16,*,2012
