,NAME,PSRJ,P0,P1,BINCOMP,DISC
95,J0420-5022,J0420-5022,3.453004,2.76E-14,*,2004
96,J0421-0345,J0421-0345,2.161308,1.16E-15,*,1996
97,J0426+4933,J0426+4933,0.922475,3.93E-14,*,2008
98,J0435+2749,J0435+2749,0.326279,8.17E-18,*,1996
99,J0437-4715,J0437-4715,0.005757,5.73E-20,He[vbv+08],1993
100,J0448-2749,J0448-2749,0.450448,1.48E-16,*,1998
101,J0449-7031,J0449-7031,0.479164,3.37E-15,*,2006
102,B0447-12,J0450-1248,0.438014,1.03E-16,*,1978
103,B0450-18,J0452-1759,0.548939,5.75E-15,*,1969
104,J0453+1559,J0453+1559,0.045782,1.86E-19,NS[msf+15],2013
105,B0450+55,J0454+5543,0.340729,2.37E-15,*,1978
106,B0456-69,J0455-6951,0.320423,1.02E-14,*,1991
107,J0456-7031,J0456-7031,0.800132,3.67E-14,*,2006
108,J0457-6337,J0457-6337,2.497012,2.1E-16,*,2006
109,J0458-0505,J0458-0505,1.88348,5.3E-16,*,2013
110,J0459-0210,J0459-0210,1.133076,1.4E-15,*,1996
111,J0501+4516,J0501+4516,5.762097,5.82E-12,*,2008
112,B0458+46,J0502+4654,0.638565,5.58E-15,*,1978
113,B0502-66,J0502-6617,0.691251,2.31E-14,*,1991
114,J0509+0856,J0509+0856,0.004056,4.41E-21,He(?)[mgf+19],2019
115,J0509+3801,J0509+3801,0.076541,7.93E-18,NS[lsk+18],2014
116,J0511-6508,J0511-6508,0.322062,2.06E-16,*,2006
117,J0514-4002A,J0514-4002A,0.004991,1.17E-21,*,2004
118,J0514-4408,J0514-4408,0.320271,2.04E-15,*,2015
119,J0517+2212,J0517+2212,0.222367,1.16E-17,*,2003
120,J0518+5416,J0518+5416,0.340203,1.68E-15,*,2014
121,J0519-6932,J0519-6932,0.263212,6.97E-16,*,2006
122,J0520-2553,J0520-2553,0.241642,3.01E-17,*,1998
123,J0522-6847,J0522-6847,0.674532,1.77E-14,*,2006
124,B0523+11,J0525+1115,0.354438,7.36E-17,*,1978
