,NAME,PSRJ,P0,P1,BINCOMP,
441,B1011-58,J1012-5857,0.819926,1.78E-14,NAN,
442,J1013-5934,J1013-5934,0.442901,5.57E-16,NAN,
443,J1014-48,J1014-48,1.5088,NAN,NAN,
444,J1015-5719,J1015-5719,0.139882,5.74E-14,NAN,
445,B1014-53,J1016-5345,0.769584,1.93E-15,NAN,
446,J1016-5819,J1016-5819,0.087834,6.98E-16,NAN,
447,J1016-5857,J1016-5857,0.107386,8.08E-14,NAN,
448,J1017+30,J1017+30,0.4528,NAN,NAN,
449,B1015-56,J1017-5621,0.503463,3.14E-15,NAN,
450,J1017-7156,J1017-7156,0.002339,2.22E-21,He,
451,B1016-16,J1018-1642,1.804695,1.74E-15,NAN,
452,J1019-5749,J1019-5749,0.162499,2.01E-14,NAN,
453,J1020-5921,J1020-5921,1.238305,4.05E-14,NAN,
454,J1020-6026,J1020-6026,0.14048,6.74E-15,NAN,
455,J1021-5601,J1021-5601,0.670026,5.34E-17,NAN,
456,J1022+1001,J1022+1001,0.016453,4.33E-20,CO,
457,J1022-5813,J1022-5813,1.643726,1.45E-13,NAN,
458,J1023+0038,J1023+0038,0.001688,6.93E-21,MS,
459,J1023-5746,J1023-5746,0.111472,3.84E-13,NAN,
460,J1024-0719,J1024-0719,0.005162,1.86E-20,MS,
461,J1028-5819,J1028-5819,0.091403,1.61E-14,NAN,
462,J1031-6117,J1031-6117,0.306411,1.78E-15,NAN,
463,J1032-5206,J1032-5206,2.407622,1.79E-14,NAN,
464,B1030-58,J1032-5911,0.464208,3E-15,NAN,
465,J1034-3224,J1034-3224,1.15059,2.3E-16,NAN,
466,J1035-6345,J1035-6345,0.579577,3.5E-16,NAN,
467,J1035-6720,J1035-6720,0.002872,4.65E-20,NAN,
468,J1036-4926,J1036-4926,0.510368,1.65E-15,NAN,
469,J1036-6559,J1036-6559,0.533502,1.36E-15,NAN,
470,J1036-8317,J1036-8317,0.003408,NAN,He,
471,J1038+0032,J1038+0032,0.028852,6.7E-20,NAN,
472,B1036-58,J1038-5831,0.661992,1.25E-15,NAN,
473,B1039-19,J1041-1942,1.386368,9.45E-16,NAN,
474,B1039-55,J1042-5521,1.170867,6.72E-15,NAN,
475,J1043-6116,J1043-6116,0.288602,1.04E-14,NAN,
476,J1044-5737,J1044-5737,0.139029,5.46E-14,NAN,
477,J1045-4509,J1045-4509,0.007474,1.77E-20,He,
478,J1046+0304,J1046+0304,0.326271,1.24E-16,NAN,
479,B1044-57,J1046-5813,0.369428,1.15E-15,NAN,
480,J1047-3032,J1047-3032,0.330328,6.1E-17,NAN,
481,J1047-6709,J1047-6709,0.198451,1.69E-15,NAN,
482,J1048+2339,J1048+2339,0.004665,3E-20,MS,
483,B1046-58,J1048-5832,0.123725,9.61E-14,NAN,
484,J1048-5838,J1048-5838,1.231305,1.22E-14,NAN,
485,J1049-5833,J1049-5833,2.202325,4.41E-15,NAN,
486,J1050-5953,J1050-5953,6.452077,3.81E-11,NAN,
487,J1052-5954,J1052-5954,0.180592,2E-14,NAN,
488,J1052-6348,J1052-6348,0.38383,3.87E-16,NAN,
489,J1054-5943,J1054-5943,0.346909,4.07E-15,NAN,
490,J1054-5946,J1054-5946,0.228324,2.09E-16,NAN,
491,J1054-6452,J1054-6452,1.840004,3.14E-15,NAN,
492,J1055-6022,J1055-6022,0.947558,9.24E-14,NAN,
493,J1055-6028,J1055-6028,0.099661,2.95E-14,NAN,
494,J1055-6236,J1055-6236,0.448635,7.08E-16,NAN,
495,J1055-6905,J1055-6905,2.919397,2.03E-14,NAN,
496,J1056-5709,J1056-5709,0.676082,5.76E-16,NAN,
497,B1054-62,J1056-6258,0.422451,3.58E-15,NAN,
498,J1056-7117,J1056-7117,0.02631,6.3E-20,He,
499,J1057-4754,J1057-4754,0.628306,2.25E-16,NAN,
500,B1055-52,J1057-5226,0.197115,5.84E-15,NAN,
501,J1057-5851,J1057-5851,0.620365,1.01E-13,NAN,
502,B1056-78,J1057-7914,1.347402,1.33E-15,NAN,
503,J1058-5957,J1058-5957,0.61627,6.57E-16,NAN,
504,B1056-57,J1059-5742,1.185003,4.3E-15,NAN,
505,J1059+6459,J1059+6459,3.63117,5.74E-15,NAN,
506,J1101-6101,J1101-6101,0.0628,8.56E-15,NAN,
507,J1101-6424,J1101-6424,0.005109,1.8E-21,CO,
508,J1103-5403,J1103-5403,0.003393,3.68E-21,NAN,
509,J1103-6025,J1103-6025,0.396587,9.9E-16,NAN,
510,J1104-6103,J1104-6103,0.280905,1.97E-15,NAN,
511,J1105-4353,J1105-4353,0.351112,2.5E-15,NAN,
512,J1105-6037,J1105-6037,0.194938,2.18E-14,NAN,
513,J1105-6107,J1105-6107,0.063202,1.58E-14,NAN,
514,J1106-6438,J1106-6438,2.717934,2.33E-15,NAN,
515,J1107-5907,J1107-5907,0.252773,9.01E-18,NAN,
516,B1105-59,J1107-5947,1.516531,3.4E-16,NAN,
517,J1107-6143,J1107-6143,1.799396,1.56E-13,NAN,
518,B1107-56,J1110-5637,0.558254,2.06E-15,NAN,
519,J1110+58,J1110+58,0.793348,NAN,NAN,
520,J1112-6103,J1112-6103,0.064962,3.15E-14,NAN,
521,B1110-65,J1112-6613,0.334213,8.24E-16,NAN,
522,B1110-69,J1112-6926,0.820484,2.84E-15,NAN,
523,B1112-60,J1114-6100,0.88082,4.61E-14,NAN,
524,B1112+50,J1115+5030,1.65644,2.49E-15,NAN,
525,J1115-6052,J1115-6052,0.259777,7.23E-15,NAN,
526,J1116-2444,J1116-2444,0.867949,9.85E-16,NAN,
527,B1114-41,J1116-4122,0.943158,7.95E-15,NAN,
528,J1117-6154,J1117-6154,0.505097,1.25E-14,NAN,
529,J1117-6447,J1117-6447,1.155272,2.4E-16,NAN,
530,J1119-6127,J1119-6127,0.407963,4.02E-12,NAN,
531,B1118-79,J1119-7936,2.280597,3.67E-15,NAN,
532,J1120-3618,J1120-3618,0.00555,NAN,NAN,
533,B1119-54,J1121-5444,0.535787,2.78E-15,NAN,
534,J1123-4844,J1123-4844,0.244838,6.54E-17,NAN,
535,J1123-6102,J1123-6102,0.640234,6.46E-15,NAN,
536,J1123-6259,J1123-6259,0.271434,5.25E-15,NAN,
537,J1123-6651,J1123-6651,0.232976,2.75E-15,NAN,
538,J1124-3653,J1124-3653,0.00241,NAN,NAN,
539,J1124-5638,J1124-5638,0.18556,9E-18,NAN,
540,J1124-5916,J1124-5916,0.135477,7.53E-13,NAN,
541,J1124-6421,J1124-6421,0.479099,6.2E-16,NAN,
542,J1125-5825,J1125-5825,0.003102,6.09E-20,He,
543,J1125-6014,J1125-6014,0.00263,4.01E-21,He,
544,J1125+7819,J1125+7819,0.004202,6.96E-21,He,
545,J1126-27,J1126-27,0.358161,NAN,NAN,
546,J1126-38,J1126-38,0.88755,NAN,NAN,
547,B1124-60,J1126-6054,0.202737,2.81E-16,NAN,
548,J1126-6942,J1126-6942,0.579416,3.3E-15,NAN,
549,J1128-6219,J1128-6219,0.515984,1.1E-17,NAN,
550,J1129-53,J1129-53,1.06288,NAN,NAN,
551,J1130-5826,J1130-5826,0.162323,1.59E-17,NAN,
552,J1130-5925,J1130-5925,0.680984,9.52E-16,NAN,
553,J1130-6807,J1130-6807,0.256353,4.6E-16,NAN,
554,J1132+25,J1132+25,1.002,NAN,NAN,
555,J1132-4700,J1132-4700,0.325633,7.77E-16,NAN,
556,J1132-5627,J1132-5627,0.175166,6.8E-17,NAN,
557,B1131-62,J1133-6250,1.022875,4.52E-16,NAN,
558,J1135-49,J1135-49,NAN,NAN,NAN,
559,J1135-6055,J1135-6055,0.114943,7.93E-14,NAN,
560,B1133+16,J1136+1551,1.187913,3.73E-15,NAN,
561,B1133-55,J1136-5525,0.364713,8.23E-15,NAN,
562,J1137-6700,J1137-6700,0.556216,7.17E-17,NAN,
563,J1137+7528,J1137+7528,0.002513,3.24E-21,He,
564,J1138-6207,J1138-6207,0.117564,1.25E-14,NAN,
565,J1141-3107,J1141-3107,0.538432,1.96E-15,NAN,
566,J1141-3322,J1141-3322,0.291468,4.63E-16,NAN,
567,J1141-6545,J1141-6545,0.393899,4.31E-15,CO,
568,J1142+0119,J1142+0119,0.005075,1.5E-20,He,
569,J1142-6230,J1142-6230,0.558383,7.79E-17,NAN,
570,J1143-5158,J1143-5158,0.675646,6.95E-16,NAN,
571,J1143-5536,J1143-5536,0.685358,4.85E-16,NAN,
572,J1144-6146,J1144-6146,0.987783,-3.81E-17,NAN,
573,J1144-6217,J1144-6217,0.850665,3.08E-14,NAN,
574,B1143-60,J1146-6030,0.273375,1.79E-15,NAN,
575,J1147-66,J1147-66,0.00372,NAN,NAN,
576,J1148-5725,J1148-5725,3.559937,1.11E-14,NAN,
577,J1148-6415,J1148-6415,3.241029,2.7E-15,NAN,
578,J1151-6108,J1151-6108,0.101633,1.03E-14,NAN,
579,J1152-5800,J1152-5800,1.789829,1.28E-15,NAN,
580,J1152-6012,J1152-6012,0.37657,6.69E-15,NAN,
581,J1153-21,J1153-21,2.34348,NAN,NAN,
582,J1154-6250,J1154-6250,0.282012,5.59E-16,NAN,
583,J1156-5707,J1156-5707,0.288409,2.65E-14,NAN,
584,J1156-5909,J1156-5909,1.037931,1.02E-15,NAN,
585,J1157-5112,J1157-5112,0.043589,1.43E-19,CO,
586,B1154-62,J1157-6224,0.400526,3.93E-15,NAN,
587,J1159-6409,J1159-6409,0.667486,2.4E-17,NAN,
588,J1159-7910,J1159-7910,0.525074,2.82E-15,NAN,
589,J1201-6306,J1201-6306,0.592136,3.56E-15,NAN,
590,B1159-58,J1202-5820,0.452803,2.13E-15,NAN,
591,J1204-6843,J1204-6843,0.308861,2.17E-16,NAN,
592,J1207-5050,J1207-5050,0.00484,NAN,NAN,
593,J1208-6238,J1208-6238,0.440591,3.27E-12,NAN,
594,J1210-5226,J1210-5226,0.424131,2.22E-17,NAN,
595,J1210-5559,J1210-5559,0.279768,7.25E-16,NAN,
596,J1210-6550,J1210-6550,4.23701,4.31E-16,NAN,
597,J1211-6324,J1211-6324,0.433084,2.57E-16,NAN,
598,J1214-5830,J1214-5830,0.909823,5.34E-17,NAN,
599,J1215-5328,J1215-5328,0.636414,1.15E-16,NAN,
600,J1216-50,J1216-50,6.355,NAN,NAN,
601,J1216-6223,J1216-6223,0.374047,1.68E-14,NAN,
602,J1216-6410,J1216-6410,0.003539,1.62E-21,He,
603,J1220-6318,J1220-6318,0.789212,8.03E-17,NAN,
604,J1222-5738,J1222-5738,1.081164,1.5E-16,NAN,
605,J1224-6208,J1224-6208,0.585761,2.02E-14,NAN,
606,B1221-63,J1224-6407,0.216481,4.95E-15,NAN,
607,J1225-5556,J1225-5556,1.018453,2.06E-15,NAN,
608,J1225-6035,J1225-6035,0.626324,2.88E-16,NAN,
609,B1222-63,J1225-6408,0.419618,9.46E-16,NAN,
610,J1226+00,J1226+00,2.2851,NAN,NAN,
611,J1226-3223,J1226-3223,6.193004,7.05E-15,NAN,
612,J1227-4853,J1227-4853,0.001686,1.11E-20,MS,
613,J1227-6208,J1227-6208,0.034528,1.87E-19,CO,
614,J1227-63,J1227-63,0.444578,NAN,NAN,
615,J1231-1411,J1231-1411,0.003684,2.28E-20,He,
616,J1231-4609,J1231-4609,0.877239,3.8E-17,NAN,
617,J1231-6303,J1231-6303,1.351236,1.4E-15,NAN,
618,J1232-4742,J1232-4742,1.872994,1.4E-17,NAN,
619,J1232-6501,J1232-6501,0.088282,8.11E-19,He,
620,J1233-6312,J1233-6312,0.564759,6.92E-15,NAN,
621,J1233-6344,J1233-6344,0.756892,3.88E-15,NAN,
622,J1234-3630,J1234-3630,0.569242,8.66E-16,NAN,
623,J1235-02,J1235-02,3.5976,NAN,NAN,
624,B1232-55,J1235-5516,0.638234,NAN,NAN,
625,J1235-6354,J1235-6354,0.256778,1.97E-16,NAN,
626,J1236-5033,J1236-5033,0.29476,1.56E-16,NAN,
627,J1237-6725,J1237-6725,2.110974,2.19E-15,NAN,
628,J1238+2152,J1238+2152,1.118591,1.45E-15,NAN,
629,B1237+25,J1239+2453,1.382449,9.6E-16,NAN,
630,J1239-48,J1239-48,0.6539,NAN,NAN,
631,B1236-68,J1239-6832,1.301923,1.19E-14,NAN,
632,B1237-41,J1240-4124,0.512242,1.74E-15,NAN,
633,J1242+39,J1242+39,1.31,NAN,NAN,
634,J1243+17,J1243+17,1.2165,NAN,NAN,
635,J1243-5735,J1243-5735,0.471225,8E-17,NAN,
636,B1240-64,J1243-6423,0.388485,4.49E-15,NAN,
637,J1244-5053,J1244-5053,0.275207,1E-15,NAN,
638,J1244-6359,J1244-6359,0.147274,4.4E-18,CO,
639,J1244-6531,J1244-6531,1.546819,7.18E-15,NAN,
640,J1245-6238,J1245-6238,2.283093,1.09E-14,NAN,
641,J1246+2253,J1246+2253,0.473871,8.89E-17,NAN,
642,J1248-6344,J1248-6344,0.198335,1.69E-14,NAN,
643,J1248-6444,J1248-6444,1.234893,1.93E-15,NAN,
644,J1249-6507,J1249-6507,0.434445,1.21E-17,NAN,
645,J1251-7407,J1251-7407,0.327058,3.65E-16,NAN,
646,J1252-6314,J1252-6314,0.823339,1.08E-16,NAN,
647,J1253-5820,J1253-5820,0.255496,2.1E-15,NAN,
648,J1254-6150,J1254-6150,0.184502,6.24E-16,NAN,
649,J1255-46,J1255-46,0.052,NAN,NAN,
650,J1255-6131,J1255-6131,0.657974,4E-15,NAN,
651,J1255-62,J1255-62,0.182912,NAN,NAN,
652,B1254-10,J1257-1027,0.617308,3.63E-16,NAN,
653,B1256-67,J1259-6741,0.663329,1.21E-15,NAN,
654,B1257+12,J1300+1240,0.006219,1.14E-19,ULT,
655,J1301+0833,J1301+0833,0.00184,NAN,UL,
656,J1301-6305,J1301-6305,0.184528,2.67E-13,NAN,
657,J1301-6310,J1301-6310,0.66383,5.64E-14,NAN,
658,J1302-32,J1302-32,0.00377,NAN,NAN,
659,J1302-63,J1302-63,0.325724,NAN,NAN,
660,J1302-6313,J1302-6313,0.967846,6.33E-15,NAN,
661,B1259-63,J1302-6350,0.047763,2.28E-15,MS,
662,J1303+38,J1303+38,0.3963,NAN,NAN,
663,J1303-6305,J1303-6305,2.306642,2.18E-15,NAN,
664,J1305-6203,J1305-6203,0.427762,3.21E-14,NAN,
665,J1305-6256,J1305-6256,0.478231,2.11E-15,NAN,
666,B1302-64,J1305-6455,0.571652,4.04E-15,NAN,
667,J1305-66,J1305-66,0.197276,NAN,NAN,
668,J1306-4035,J1306-4035,0.002205,NAN,MS,
669,J1306-6242,J1306-6242,0.981902,5.86E-15,NAN,
670,B1303-66,J1306-6617,0.473026,5.97E-15,NAN,
671,J1307-6318,J1307-6318,4.962427,2.11E-14,NAN,
672,J1307-67,J1307-67,3.6512,NAN,NAN,
673,J1308+2127,J1308+2127,10.312522,1.12E-13,NAN,
674,J1308-4650,J1308-4650,1.058833,5.26E-16,NAN,
675,J1308-5844,J1308-5844,0.4647,8.64E-15,NAN,
676,J1309-6415,J1309-6415,0.619454,8.79E-15,NAN,
677,J1309-6526,J1309-6526,0.398292,1.84E-17,NAN,
678,B1309-12,J1311-1228,0.447518,1.51E-16,NAN,
679,J1311-3430,J1311-3430,0.00256,2.1E-20,UL,
680,J1312+0051,J1312+0051,0.004228,1.75E-20,He,
681,B1310+18,J1312+1810,0.033163,NAN,NAN,
682,B1309-53,J1312-5402,0.728154,1.43E-16,NAN,
683,B1309-55,J1312-5516,0.849243,5.7E-15,NAN,
684,J1312-6400,J1312-6400,2.437432,6.83E-16,NAN,
685,J1313+0931,J1313+0931,0.848933,8E-16,NAN,
686,J1314-6101,J1314-6101,2.94839,1.17E-14,NAN,
687,J1316-6232,J1316-6232,0.342825,5.3E-15,NAN,
688,J1317-5759,J1317-5759,2.642199,1.26E-14,NAN,
689,J1317-6302,J1317-6302,0.261271,1.02E-16,NAN,
690,B1316-60,J1319-6056,0.284353,1.53E-15,NAN,
691,J1319-6105,J1319-6105,0.421118,1.5E-15,NAN,
692,J1320-3512,J1320-3512,0.458488,1.9E-18,NAN,
693,B1317-53,J1320-5359,0.279738,9.25E-15,NAN,
694,J1320+67,J1320+67,1.02862,NAN,NAN,
695,J1321-5922,J1321-5922,1.279058,2.37E-15,NAN,
696,B1322+83,J1321+8323,0.670037,5.66E-16,NAN,
697,J1322-62,J1322-62,1.044851,NAN,NAN,
698,J1322-6241,J1322-6241,0.506058,2.59E-15,NAN,
699,J1322-6329,J1322-6329,2.764209,1.11E-14,NAN,
700,J1324-6146,J1324-6146,0.844109,5.58E-15,NAN,
701,J1324-6302,J1324-6302,2.483804,9.79E-16,NAN,
702,J1326+33,J1326+33,0.0415,NAN,NAN,
703,B1323-58,J1326-5859,0.477994,3.24E-15,NAN,
704,B1323-63,J1326-6408,0.792674,3.09E-15,NAN,
705,B1322-66,J1326-6700,0.543015,5.33E-15,NAN,
706,J1327-0755,J1327-0755,0.002678,1.77E-21,He,
707,B1323-62,J1327-6222,0.529929,1.88E-14,NAN,
708,B1323-627,J1327-6301,0.19648,1.53E-15,NAN,
709,J1327-6400,J1327-6400,0.280678,3.12E-14,NAN,
710,B1325-43,J1328-4357,0.532699,3.01E-15,NAN,
711,B1325-49,J1328-4921,1.478721,6.1E-16,NAN,
712,J1329+13,J1329+13,NAN,NAN,NAN,
713,J1329-6158,J1329-6158,1.565218,3.39E-14,NAN,
714,J1331-5245,J1331-5245,0.648117,5.1E-16,NAN,
715,J1332-03,J1332-03,1.1064,NAN,NAN,
716,J1332-3032,J1332-3032,0.650434,5.6E-16,NAN,
717,J1333-4449,J1333-4449,0.345603,5.4E-19,NAN,
718,J1334+10,J1334+10,0.9111,NAN,NAN,
719,J1334-5839,J1334-5839,0.107718,2.16E-17,NAN,
720,J1335-3642,J1335-3642,0.399192,NAN,NAN,
721,J1336-2522,J1336-2522,0.478145,3.31E-16,NAN,
722,J1336+33,J1336+33,3.013,NAN,NAN,
723,J1337-44,J1337-44,1.25752,NAN,NAN,
724,J1337-6306,J1337-6306,0.207953,3.56E-16,NAN,
725,J1337-6423,J1337-6423,0.009423,2.47E-20,CO,
726,B1334-61,J1338-6204,1.23899,1.39E-14,NAN,
727,J1339-4712,J1339-4712,0.137055,5.3E-19,NAN,
728,J1339-6618,J1339-6618,0.558179,3.5E-16,NAN,
729,B1336-64,J1340-6456,0.378622,5.05E-15,NAN,
730,J1341-6023,J1341-6023,0.627285,1.95E-14,NAN,
731,B1338-62,J1341-6220,0.19334,2.53E-13,NAN,
732,J1342+2822A,J1342+2822A,0.002545,NAN,NAN,
733,J1342+2822B,J1342+2822B,0.002389,1.86E-20,He,
734,J1342+2822C,J1342+2822C,0.002166,NAN,NAN,
735,J1342+2822D,J1342+2822D,0.005443,NAN,He,
736,J1344-6059,J1344-6059,0.540102,4.3E-17,NAN,
737,J1344+66,J1344+66,1.3941,NAN,NAN,
738,J1345-6115,J1345-6115,1.253085,3.25E-15,NAN,
739,J1346-4918,J1346-4918,0.299625,3.5E-17,NAN,
740,J1347-5947,J1347-5947,0.609962,1.42E-14,NAN,
741,J1348-6307,J1348-6307,0.927772,3.79E-15,NAN,
742,J1349-6130,J1349-6130,0.259363,5.13E-15,NAN,
743,J1349-63,J1349-63,0.373034,NAN,NAN,
744,J1350-5115,J1350-5115,0.295699,7.53E-16,NAN,
745,J1350-6225,J1350-6225,0.138158,8.88E-15,NAN,
746,J1352-6803,J1352-6803,0.628903,1.23E-15,NAN,
747,J1354-6249,J1354-6249,2.951938,1.48E-14,NAN,
748,B1352-51,J1355-5153,0.644305,2.81E-15,NAN,
749,J1355-5747,J1355-5747,2.038674,7.15E-16,NAN,
750,J1355-5925,J1355-5925,1.213381,5.99E-15,NAN,
751,J1355-6206,J1355-6206,0.276603,3.1E-18,NAN,
752,J1356-5521,J1356-5521,0.50738,7.24E-16,NAN,
753,B1353-62,J1357-62,0.455761,NAN,NAN,
754,J1357-6429,J1357-6429,0.166108,3.6E-13,NAN,
755,J1358-2533,J1358-2533,0.912971,NAN,NAN,
756,B1356-60,J1359-6038,0.127508,6.33E-15,NAN,
757,J1400-1431,J1400-1431,0.003084,7.23E-21,He,
758,J1400+21,J1400+21,NAN,NAN,NAN,
759,J1400-6325,J1400-6325,0.031182,3.89E-14,NAN,
760,B1358-63,J1401-6357,0.842805,1.69E-14,NAN,
761,B1359-51,J1402-5124,1.380177,NAN,NAN,
762,J1403-0314,J1403-0314,0.362634,NAN,NAN,
763,J1403-6310,J1403-6310,0.39917,9E-17,NAN,
764,J1403-7646,J1403-7646,1.306198,1.2E-15,NAN,
765,J1404+1159,J1404+1159,2.650439,1.37E-15,NAN,
766,J1405-42,J1405-42,2.3468,NAN,NAN,
767,J1405-4656,J1405-4656,0.007602,2.79E-20,He,
768,J1405-5641,J1405-5641,0.617575,1.2E-15,NAN,
769,J1406-5806,J1406-5806,0.288349,6.11E-16,NAN,
770,J1406-6121,J1406-6121,0.213075,5.47E-14,NAN,
771,J1407-6048,J1407-6048,0.492344,3.16E-15,NAN,
772,J1407-6153,J1407-6153,0.701615,8.85E-15,NAN,
773,J1409-6953,J1409-6953,0.528591,8.4E-16,NAN,
774,J1410-6132,J1410-6132,0.050052,3.2E-14,NAN,
775,J1410-7404,J1410-7404,0.278729,6.74E-18,NAN,
776,J1411+2551,J1411+2551,0.062453,9.56E-20,NS,
777,J1412-6111,J1412-6111,0.529156,1.91E-15,NAN,
778,J1412-6145,J1412-6145,0.315225,9.87E-14,NAN,
779,J1412+7922,J1412+7922,0.059198,4E-19,NAN,
780,J1413-6141,J1413-6141,0.285625,3.33E-13,NAN,
781,J1413-6205,J1413-6205,0.109741,2.77E-14,NAN,
782,J1413-6222,J1413-6222,0.292408,2.23E-15,NAN,
783,B1409-62,J1413-6307,0.394946,7.43E-15,NAN,
784,J1414-6802,J1414-6802,4.630188,6.39E-15,NAN,
785,J1415-6621,J1415-6621,0.392479,5.8E-16,NAN,
786,J1416-5033,J1416-5033,0.794883,1.2E-16,NAN,
787,J1416-6037,J1416-6037,0.29558,4.28E-15,NAN,
788,J1417-4402,J1417-4402,0.002664,NAN,MS,
789,J1418-3921,J1418-3921,1.096806,8.89E-16,NAN,
790,J1418-5945,J1418-5945,1.672596,2.71E-16,NAN,
791,J1418-6058,J1418-6058,0.110573,1.69E-13,NAN,
792,B1417-54,J1420-5416,0.935772,2.32E-16,NAN,
793,J1420-5625,J1420-5625,0.034117,6.75E-20,CO,
794,J1420-6048,J1420-6048,0.06818,8.32E-14,NAN,
795,J1421-4409,J1421-4409,0.006386,1.27E-20,He,
796,J1422-6138,J1422-6138,0.340968,9.68E-14,NAN,
797,J1423-6953,J1423-6953,0.333411,1.45E-15,NAN,
798,J1424-5556,J1424-5556,0.770375,7.8E-16,NAN,
799,J1424-56,J1424-56,1.427,NAN,NAN,
800,J1424-5822,J1424-5822,0.366734,3.94E-15,NAN,
801,J1424-6438,J1424-6438,1.023504,2.4E-16,NAN,
802,J1425-5723,J1425-5723,0.353263,2.2E-17,NAN,
803,J1425-5759,J1425-5759,0.707868,7.42E-16,NAN,
804,J1425-6210,J1425-6210,0.50173,4.78E-16,NAN,
805,J1426+52,J1426+52,0.9958,NAN,NAN,
806,J1427-4158,J1427-4158,0.586486,6.21E-16,NAN,
807,B1424-55,J1428-5530,0.570292,2.09E-15,NAN,
808,J1429-5911,J1429-5911,0.115843,3.05E-14,NAN,
809,J1429-5935,J1429-5935,0.763915,4.28E-14,NAN,
810,B1426-66,J1430-6623,0.785443,2.78E-15,NAN,
811,J1431-4715,J1431-4715,0.002012,1.41E-20,MS,
812,J1431-5740,J1431-5740,0.004111,6.42E-21,He,
813,J1432-5032,J1432-5032,2.034989,5.92E-15,NAN,
814,J1433+00,J1433+00,NAN,NAN,NAN,
815,J1433-6038,J1433-6038,1.95443,5.63E-15,NAN,
816,J1434-6006,J1434-6006,0.306368,3.02E-15,NAN,
817,J1434-6029,J1434-6029,0.963348,1.03E-15,NAN,
818,J1434+7257,J1434+7257,0.041741,5.5E-19,NAN,
819,J1435-5954,J1435-5954,0.472995,1.54E-15,NAN,
820,J1435-6100,J1435-6100,0.009348,2.45E-20,CO,
821,J1437-5959,J1437-5959,0.061696,8.59E-15,NAN,
822,J1437-6146,J1437-6146,0.467616,6.33E-15,NAN,
823,J1439-5501,J1439-5501,0.028635,1.42E-19,CO,
824,J1439+76,J1439+76,0.947903,NAN,NAN,
825,B1436-63,J1440-6344,0.459607,1.12E-15,NAN,
826,J1441-6137,J1441-6137,1.17584,3.6E-16,NAN,
827,J1443-5122,J1443-5122,0.732061,3.38E-16,NAN,
828,J1444-5941,J1444-5941,2.760228,8.23E-15,NAN,
829,J1444-6026,J1444-6026,4.758576,1.85E-14,NAN,
830,J1446-4701,J1446-4701,0.002195,9.81E-21,UL,
831,J1449-5846,J1449-5846,0.46333,8.6E-17,NAN,
832,J1452-5851,J1452-5851,0.386625,5.07E-14,NAN,
833,J1452-6036,J1452-6036,0.154991,1.45E-15,NAN,
834,J1453+1902,J1453+1902,0.005792,1.17E-20,NAN,
835,B1449-64,J1453-6413,0.179487,2.74E-15,NAN,
836,J1454-5846,J1454-5846,0.045249,8.17E-19,CO,
837,J1455-3330,J1455-3330,0.007987,2.43E-20,He,
838,J1455-59,J1455-59,0.176191,NAN,NAN,
839,J1456-48,J1456-48,0.53681,NAN,NAN,
840,B1451-68,J1456-6843,0.263377,9.89E-17,NAN,
841,B1454-51,J1457-5122,1.748301,5.29E-15,NAN,
842,J1457-5900,J1457-5900,1.498637,3.66E-15,NAN,
843,J1457-5902,J1457-5902,0.390739,1.23E-14,NAN,
844,J1459-6053,J1459-6053,0.103151,2.53E-14,NAN,
845,J1501-0046,J1501-0046,0.464037,2.39E-16,NAN,
846,J1501-5637,J1501-5637,0.782949,1.7E-16,NAN,
847,J1502+28,J1502+28,3.784,NAN,NAN,
848,J1502-5653,J1502-5653,0.535504,1.83E-15,NAN,
849,J1502-5828,J1502-5828,0.668105,3.64E-14,NAN,
850,J1502-6128,J1502-6128,0.842104,1.35E-15,NAN,
851,J1502-6752,J1502-6752,0.026744,3.15E-19,UL,
852,J1503+2111,J1503+2111,3.314002,1.4E-16,NAN,
853,J1504-5621,J1504-5621,0.412985,5.53E-15,NAN,
854,B1503-51,J1506-5158,0.840739,6.37E-15,NAN,
855,B1504-43,J1507-4352,0.286758,1.58E-15,NAN,
856,B1503-66,J1507-6640,0.355656,1.15E-15,NAN,
857,B1508+55,J1509+5531,0.739682,5E-15,NAN,
858,J1509-5850,J1509-5850,0.088922,9.17E-15,NAN,
859,J1509-6015,J1509-6015,0.339038,2.12E-15,NAN,
860,B1507-44,J1510-4422,0.943871,6.1E-16,NAN,
861,J1511-5414,J1511-5414,0.200384,4.85E-16,NAN,
862,J1511-5835,J1511-5835,0.301511,3.44E-16,NAN,
863,J1512-5431,J1512-5431,2.040532,1.92E-15,NAN,
864,B1508-57,J1512-5759,0.1287,6.85E-15,NAN,
865,J1513-2550,J1513-2550,0.002119,2.16E-20,UL,
866,J1513-5739,J1513-5739,0.973458,2.75E-14,NAN,
867,B1509-58,J1513-5908,0.151251,1.53E-12,NAN,
868,J1513-5946,J1513-5946,1.046117,8.53E-15,NAN,
869,B1510-48,J1514-4834,0.454839,9.25E-16,NAN,
870,J1514-4946,J1514-4946,0.003589,1.86E-20,He,
871,J1514-5925,J1514-5925,0.148796,2.88E-15,NAN,
872,J1515-5720,J1515-5720,0.286646,6.1E-15,NAN,
873,J1516-43,J1516-43,0.036022,NAN,NAN,
874,J1517-32,J1517-32,0.064402,NAN,NAN,
875,J1517-4356,J1517-4356,0.650837,2.16E-16,NAN,
876,J1517-4636,J1517-4636,0.886612,2.1E-15,NAN,
877,B1516+02A,J1518+0204A,0.005554,4.12E-20,NAN,
