,NAME,PSRJ,P0,P1,BINCOMP,
100,J0211-8159,J0211-8159,1.077333,2.9E-16,NAN,
101,J0212+5222,J0212+5222,0.376386,6.6E-15,NAN,
102,J0214+5222,J0214+5222,0.024575,2.99E-19,He,
103,J0215+6218,J0215+6218,0.54888,6.62E-16,NAN,
104,J0218+4232,J0218+4232,0.002323,7.74E-20,He,
105,J0220+36,J0220+36,1.0297,NAN,NAN,
106,J0229+20,J0229+20,0.8069,NAN,NAN,
107,B0226+70,J0231+7026,1.46682,3.11E-15,NAN,
108,J0241+16,J0241+16,1.5454,NAN,NAN,
109,J0242+62,J0242+62,0.592,NAN,NAN,
110,J0243+6027,J0243+6027,1.473,NAN,NAN,
111,J0244+14,J0244+14,2.1281,NAN,NAN,
112,J0248+6021,J0248+6021,0.217094,5.51E-14,NAN,
113,J0250+5854,J0250+5854,23.535378,2.72E-14,NAN,
114,J0251+26,J0251+26,0.00254,NAN,UL,
115,B0254-53,J0255-5304,0.447708,3.13E-17,NAN,
116,J0302+22,J0302+22,1.2072,NAN,NAN,
117,B0301+19,J0304+1932,1.387584,1.3E-15,NAN,
118,J0305+11,J0305+11,0.8621,NAN,NAN,
119,J0308+74,J0308+74,0.00316,NAN,NAN,
120,J0317+13,J0317+13,1.9743,NAN,NAN,
121,B0320+39,J0323+3944,3.032072,6.36E-16,NAN,
122,J0324+5239,J0324+5239,0.33662,3.81E-16,NAN,
123,J0325+6744,J0325+6744,1.364679,1.55E-15,NAN,
124,J0329+1654,J0329+1654,0.89332,2.15E-16,NAN,
125,B0329+54,J0332+5434,0.71452,2.05E-15,NAN,
126,J0332+79,J0332+79,2.05621,NAN,NAN,
127,B0331+45,J0335+4555,0.269201,7.35E-18,NAN,
128,J0335+6623,J0335+6623,1.761934,4.81E-15,NAN,
129,J0337+1715,J0337+1715,0.002733,1.77E-20,He,
130,J0340+4130,J0340+4130,0.003299,7.05E-21,NAN,
131,J0341+5711,J0341+5711,1.888,NAN,NAN,
132,J0343-3000,J0343-3000,2.597027,5.7E-17,NAN,
133,B0339+53,J0343+5312,1.934478,1.34E-14,NAN,
134,J0348+0432,J0348+0432,0.039123,2.41E-19,He,
135,J0349+23,J0349+23,2.4208,NAN,NAN,
136,J0357+3205,J0357+3205,0.444104,1.3E-14,NAN,
137,B0353+52,J0357+5236,0.19703,4.77E-16,NAN,
138,J0358+4155,J0358+4155,0.226484,1.46E-16,NAN,
139,B0355+54,J0358+5413,0.156384,4.39E-15,NAN,
140,J0358+6627,J0358+6627,0.091506,1.09E-17,NAN,
141,J0359+5414,J0359+5414,0.079427,1.67E-14,NAN,
142,B0403-76,J0401-7608,0.545254,1.54E-15,NAN,
143,B0402+61,J0406+6138,0.594576,5.57E-15,NAN,
144,J0407+1607,J0407+1607,0.025702,7.9E-20,He,
145,J0408+551,J0408+551,1.837,NAN,NAN,
146,J0408+552,J0408+552,0.754,NAN,NAN,
147,J0410-31,J0410-31,1.8785,NAN,NAN,
148,J0413+58,J0413+58,0.687,NAN,NAN,
149,B0410+69,J0415+6954,0.390715,7.66E-17,NAN,
150,J0417+35,J0417+35,0.6544,NAN,NAN,
151,J0417+61,J0417+61,0.440283,NAN,NAN,
152,J0418-4154,J0418-4154,0.757119,1.31E-15,NAN,
153,J0418+5732,J0418+5732,9.078388,4.1E-15,NAN,
154,J0419+44,J0419+44,1.241,NAN,NAN,
155,J0420-5022,J0420-5022,3.453004,2.76E-14,NAN,
